"subject","block.1","block.2","block.3","block.4","block.5","block.6","block.7","block.8","block.9","block.10","block.11","block.12"
16018,0,38,82,122,158,200,240,282,322,360,404,444
16028,0,38,82,122,158,200,240,282,322,360,404,444
16047,0,38,82,122,158,200,240,282,322,360,404,444
16017,0,38,82,122,158,200,240,282,322,360,404,444
16025,0,38,82,122,158,200,240,282,322,360,404,444
16032,0,38,82,122,158,200,240,282,322,360,404,444
16061,0,38,82,122,158,200,240,282,322,360,404,444
16015,0,38,82,122,158,200,240,282,322,360,404,444
16019,0,38,82,122,158,200,240,282,322,360,404,444
16020,0,38,82,122,158,200,240,282,322,360,404,444
16023,0,38,82,122,158,200,240,282,322,360,404,444
16001,0,38,82,122,158,200,240,282,322,360,404,444
16035,0,38,82,122,158,200,240,282,322,360,404,444
16056,0,38,82,122,158,200,240,282,322,360,404,444
16027,0,38,82,122,158,200,240,282,322,360,404,444
16046,0,38,82,122,158,200,240,282,322,360,404,444
16021,0,38,82,122,158,200,240,282,322,360,404,444
16029,0,38,82,122,158,200,240,282,322,360,404,444
16031,0,38,82,122,158,200,240,282,322,360,404,444
16002,0,38,82,122,158,200,240,282,322,360,404,444
16005,0,38,82,122,158,200,240,282,322,360,404,444
16014,0,38,82,122,158,200,240,282,322,360,404,444
16034,0,38,82,122,158,200,240,282,322,360,404,444
16026,0,38,82,122,158,200,240,282,322,360,404,444
16030,0,38,82,122,158,200,240,282,322,360,404,444
16039,0,38,82,122,158,200,240,282,322,360,404,444
16067,0,38,82,122,158,200,240,282,322,360,404,444
