"subject","break.1","break.2","break.3","break.4","break.5","break.6","break.7","break.8","break.9","break.10","break.11"
16018,19,57,101,141,177,220,260,301,341,379,423
16028,19,57,102,141,177,219,259,302,341,379,423
16047,19,57,102,141,177,219,259,302,341,379,423
16017,19,57,102,141,177,219,259,302,341,379,423
16025,20,58,102,141,177,220,260,302,341,379,424
16032,19,57,102,141,177,219,259,301,341,379,424
16061,19,57,102,141,177,219,259,302,341,379,423
16015,19,57,102,141,177,219,260,302,341,379,423
16019,19,57,102,141,177,219,259,302,341,379,423
16020,19,57,101,142,177,219,259,301,341,379,423
16023,19,58,102,141,177,219,260,302,341,379,424
16001,19,57,102,141,177,219,260,302,341,379,423
16035,19,57,102,141,177,219,259,302,341,379,423
16056,19,58,102,141,177,220,260,302,341,379,424
16027,19,57,102,141,177,219,260,302,341,379,423
16046,19,57,101,141,177,219,259,301,341,379,423
16021,19,57,101,141,177,220,259,301,341,379,423
16029,19,58,102,141,177,219,260,302,341,379,424
16031,19,58,102,141,177,219,260,302,341,379,424
16002,19,57,101,141,177,219,259,301,341,379,423
16005,19,57,102,142,177,219,259,301,341,379,423
16014,20,58,102,141,177,220,260,302,341,379,424
16034,20,58,101,141,177,220,260,301,341,379,424
16026,19,57,101,141,177,219,259,301,341,379,423
16030,19,57,101,141,177,219,259,301,341,379,423
16039,20,58,102,141,177,219,259,302,341,379,423
16067,19,57,101,141,177,219,259,301,341,379,423
